id,latitude,longitude,start_date,end_date
T7WIMF_8,57.3824,14.75969,2019-06-04,2019-12-04
TUHLET_13,57.8086,13.06653,2019-06-04,2019-12-04
TNLTYQ_13,57.8085,13.07667,2019-06-04,2019-12-04
TMLQED_13,57.16676,16.01334,2019-06-04,2019-12-04
TJZEUI_13,57.5851226,18.5166415,2019-06-04,2019-12-04
TWLJ2P_13,59.171847,17.778725,2019-06-04,2019-12-04
TYBVXB_13,59.169998,17.765352,2019-06-04,2019-12-04
THGUAX_13,57.16754,16.0202,2019-06-04,2019-12-04
TIUVZ1_10,57.8164316,13.4871933,2019-06-04,2019-12-04
